populacao,municipio,cod_mun,ano
7448,São Domingos do Azeitão,2110658,2021
34391,São Domingos do Maranhão,2110708,2021
4540,São Félix de Balsas,2110807,2021
12082,São Francisco do Brejão,2110856,2021
12226,São Francisco do Maranhão,2110906,2021
20736,São João Batista,2111003,2021
15768,São João do Carú,2111029,2021
11207,São João do Paraíso,2111052,2021
18746,São João do Soter,2111078,2021
26063,São João dos Patos,2111102,2021
180345,São José de Ribamar,2111201,2021
7639,São José dos Basílios,2111250,2021
1115932,São Luís,2111300,2021
18600,São Luís Gonzaga do Maranhão,2111409,2021
41750,São Mateus do Maranhão,2111508,2021
12779,São Pedro da Água Branca,2111532,2021
4700,São Pedro dos Crentes,2111573,2021
19090,São Raimundo das Mangabeiras,2111607,2021
5028,São Raimundo do Doca Bezerra,2111631,2021
6856,São Roberto,2111672,2021
22452,São Vicente Ferrer,2111706,2021
14274,Satubinha,2111722,2021
11285,Senador Alexandre Costa,2111748,2021
13981,Senador La Rocque,2111763,2021
10343,Serrano do Maranhão,2111789,2021
18237,Sítio Novo,2111805,2021
10631,Sucupira do Norte,2111904,2021
5692,Sucupira do Riachão,2111953,2021
8642,Tasso Fragoso,2112001,2021
29241,Timbiras,2112100,2021
171317,Timon,2112209,2021
22223,Trizidela do Vale,2112233,2021
5868,Tufilândia,2112274,2021
42242,Tuntum,2112308,2021
35811,Turiaçu,2112407,2021
26112,Turilândia,2112456,2021
59927,Tutóia,2112506,2021
33791,Urbano Santos,2112605,2021
57813,Vargem Grande,2112704,2021
52852,Viana,2112803,2021
13800,Vila Nova dos Martírios,2112852,2021
32956,Vitória do Mearim,2112902,2021
31520,Vitorino Freire,2113009,2021
52190,Zé Doca,2114007,2021
7119,Acauã,2200053,2021
5123,Agricolândia,2200103,2021
17525,Água Branca,2200202,2021
7678,Alagoinha do Piauí,2200251,2021
4921,Alegrete do Piauí,2200277,2021
14371,Alto Longá,2200301,2021
40681,Altos,2200400,2021
5469,Alvorada do Gurguéia,2200459,2021
17609,Amarante,2200509,2021
6779,Angical do Piauí,2200608,2021
9994,Anísio de Abreu,2200707,2021
3175,Antônio Almeida,2200806,2021
5819,Aroazes,2200905,2021
2551,Aroeiras do Itaim,2200954,2021
4713,Arraial,2201002,2021
7879,Assunção do Piauí,2201051,2021
11361,Avelino Lopes,2201101,2021
11751,Baixa Grande do Ribeiro,2201150,2021
3953,Barra D'Alcântara,2201176,2021
47298,Barras,2201200,2021
3356,Barreiras do Piauí,2201309,2021
7022,Barro Duro,2201408,2021
26951,Batalha,2201507,2021
4044,Bela Vista do Piauí,2201556,2021
3607,Belém do Piauí,2201572,2021
10479,Beneditinos,2201606,2021
5512,Bertolínia,2201705,2021
6214,Betânia do Piauí,2201739,2021
6848,Boa Hora,2201770,2021
4509,Bocaina,2201804,2021
25584,Bom Jesus,2201903,2021
5670,Bom Princípio do Piauí,2201919,2021
5700,Bonfim do Piauí,2201929,2021
6443,Boqueirão do Piauí,2201945,2021
8364,Brasileira,2201960,2021
3824,Brejo do Piauí,2201988,2021
19832,Buriti dos Lopes,2202000,2021
8282,Buriti dos Montes,2202026,2021
10671,Cabeceiras do Piauí,2202059,2021
3586,Cajazeiras do Piauí,2202075,2021
7704,Cajueiro da Praia,2202083,2021
5786,Caldeirão Grande do Piauí,2202091,2021
5628,Campinas do Piauí,2202109,2021
5093,Campo Alegre do Fidalgo,2202117,2021
5987,Campo Grande do Piauí,2202133,2021
7342,Campo Largo do Piauí,2202174,2021
46950,Campo Maior,2202208,2021
3938,Canavieira,2202251,2021
21326,Canto do Buriti,2202307,2021
11471,Capitão de Campos,2202406,2021
4127,Capitão Gervásio Oliveira,2202455,2021
11009,Caracol,2202505,2021
5910,Caraúbas do Piauí,2202539,2021
5102,Caridade do Piauí,2202554,2021
19716,Castelo do Piauí,2202604,2021
5477,Caxingó,2202653,2021
27901,Cocal,2202703,2021
4908,Cocal de Telha,2202711,2021
6180,Cocal dos Alves,2202729,2021
4044,Coivaras,2202737,2021
6545,Colônia do Gurguéia,2202752,2021
7665,Colônia do Piauí,2202778,2021
4811,Conceição do Canindé,2202802,2021
4688,Coronel José Dias,2202851,2021
26771,Corrente,2202901,2021
8350,Cristalândia do Piauí,2203008,2021
10464,Cristino Castro,2203107,2021
11461,Curimatá,2203206,2021
4982,Currais,2203230,2021
4475,Curralinhos,2203255,2021
5390,Curral Novo do Piauí,2203271,2021
13862,Demerval Lobão,2203305,2021
7046,Dirceu Arcoverde,2203354,2021
6940,Dom Expedito Lopes,2203404,2021
4352,Domingos Mourão,2203420,2021
9574,Dom Inocêncio,2203453,2021
14550,Elesbão Veloso,2203503,2021
4943,Eliseu Martins,2203602,2021
39953,Esperantina,2203701,2021
5330,Fartura do Piauí,2203750,2021
4461,Flores do Piauí,2203800,2021
2561,Floresta do Piauí,2203859,2021
60111,Floriano,2203909,2021
5345,Francinópolis,2204006,2021
4300,Francisco Ayres,2204105,2021
3216,Francisco Macedo,2204154,2021
9423,Francisco Santos,2204204,2021
11690,Fronteiras,2204303,2021
5477,Geminiano,2204352,2021
10698,Gilbués,2204402,2021
10496,Guadalupe,2204501,2021
4573,Guaribas,2204550,2021
